table,game,buttons,sound,saves,first,loop,recipe,skip,loopskip,anchor0,anchor,land,pair,late,rows,alias
loopnone-none_single_help_mono__r-ltap-soft,fr,help,mono,single,none,none,ltap-soft,,,1950,6275,480,start-a,start,2595,
loopnone-none_single_help_mono__r-start0-ltap-soft,fr,help,mono,single,none,none,start0-ltap-soft,,,1950,6275,480,start-a,start,1338,
loopnone-none_single_help_mono__r-start0-soft,fr,help,mono,single,none,none,start0-soft,,,1950,6275,480,start-a,start,2474,
loopnone-none_single_help_mono__r-start0-uploop,fr,help,mono,single,none,none,start0-uploop,,,1741,6066,0,start-a,start,2474,
loopnone-none_single_help_stereo__r-ltap-soft,fr,help,stereo,single,none,none,ltap-soft,,,1950,6275,480,start-a,start,2595,
loopnone-none_single_help_stereo__r-start0-ltap-soft,fr,help,stereo,single,none,none,start0-ltap-soft,,,1950,6275,480,start-a,start,2286,
loopnone-none_single_help_stereo__r-start0-soft,fr,help,stereo,single,none,none,start0-soft,,,1950,6275,480,start-a,start,2474,
loopnone-none_single_help_stereo__r-start0-uploop,fr,help,stereo,single,none,none,start0-uploop,,,1741,6066,0,start-a,start,2474,
loopnone-none_single_la_mono__r-ltap-soft,fr,la,mono,single,none,none,ltap-soft,,,1950,6275,480,start-a,start,2595,
loopnone-none_single_la_mono__r-start0-ltap-soft,fr,la,mono,single,none,none,start0-ltap-soft,,,1950,6275,480,start-a,start,1329,
loopnone-none_single_la_mono__r-start0-soft,fr,la,mono,single,none,none,start0-soft,,,1950,6275,480,start-a,start,2474,
loopnone-none_single_la_stereo__r-ltap-soft,fr,la,stereo,single,none,none,ltap-soft,,,1950,6275,480,start-a,start,2595,
loopnone-none_single_la_stereo__r-start0-ltap-soft,fr,la,stereo,single,none,none,start0-ltap-soft,,,1950,6275,480,start-a,start,1323,
loopnone-none_single_la_stereo__r-start0-soft,fr,la,stereo,single,none,none,start0-soft,,,1950,6275,480,start-a,start,2474,
single_help_mono__r-ltap-soft,fr,help,mono,single,none,off,ltap-soft,,,1950,1950,480,start-a,start,2595,
single_help_mono__r-r0-held,fr,help,mono,single,none,off,r0-held,,,1741,1741,0,start-a,start,2595,
single_help_mono__r-soft,fr,help,mono,single,none,off,soft,,,1950,1950,480,start-a,start,2595,
single_help_mono__r-start0-ltap-soft,fr,help,mono,single,none,off,start0-ltap-soft,,,1950,1950,480,start-a,start,1331,
single_help_mono__r-start0-soft,fr,help,mono,single,none,off,start0-soft,,,1950,1950,480,start-a,start,2474,
single_help_mono__r-x-b-start,fr,help,mono,single,none,off,x-b-start,,,1741,1741,0,b-start,,262,
single_help_mono__r-x-start-b,fr,help,mono,single,none,off,x-start-b,,,1741,1741,0,,start-b,2333,
single_help_stereo__r-ltap-soft,fr,help,stereo,single,none,off,ltap-soft,,,1950,1950,480,start-a,start,2595,
single_help_stereo__r-start0-ltap-soft,fr,help,stereo,single,none,off,start0-ltap-soft,,,1950,1950,480,start-a,start,2286,
single_help_stereo__r-start0-soft,fr,help,stereo,single,none,off,start0-soft,,,1950,1950,480,start-a,start,2474,
single_la_mono__r-ltap-soft,fr,la,mono,single,none,off,ltap-soft,,,1950,1950,480,start-a,start,2595,
single_la_mono__r-start0-ltap-soft,fr,la,mono,single,none,off,start0-ltap-soft,,,1950,1950,480,start-a,start,1352,
single_la_mono__r-start0-soft,fr,la,mono,single,none,off,start0-soft,,,1950,1950,480,start-a,start,2474,
single_la_stereo__r-ltap-soft,fr,la,stereo,single,none,off,ltap-soft,,,1950,1950,480,start-a,start,2595,
single_la_stereo__r-start0-ltap-soft,fr,la,stereo,single,none,off,start0-ltap-soft,,,1950,1950,480,start-a,start,1332,
single_la_stereo__r-start0-soft,fr,la,stereo,single,none,off,start0-soft,,,1950,1950,480,start-a,start,2474,
